stock_id,date,revenue
1110,2026-05-01,237552000
1201,2024-02-01,1822467000
1201,2024-03-01,1730379000
1201,2024-04-01,1781603000
1201,2024-05-01,1888811000
1201,2024-06-01,2067265000
1201,2024-07-01,1949792000
1201,2024-08-01,2154021000
1201,2024-09-01,2217179000
1201,2024-10-01,2134895000
1201,2024-11-01,2045868000
1201,2024-12-01,1831315000
1201,2025-01-01,1850209000
1201,2025-02-01,1913014000
1201,2025-03-01,1529280000
1201,2025-04-01,1773075000
1201,2025-05-01,1856995000
1201,2025-06-01,1923030000
1201,2025-07-01,1736584000
1201,2025-08-01,1850418000
1201,2025-09-01,1974741000
1201,2025-10-01,2160653000
1201,2025-11-01,1801807000
1201,2025-12-01,1651571000
1201,2026-01-01,1670916000
1201,2026-02-01,1676231000
1201,2026-03-01,1640170000
1201,2026-04-01,1684666000
1201,2026-05-01,1793562000
1203,2024-02-01,560943000
1203,2024-03-01,472834000
1203,2024-04-01,524884000
1203,2024-05-01,492424000
1203,2024-06-01,512093000
1203,2024-07-01,514904000
1203,2024-08-01,475908000
1203,2024-09-01,496672000
1203,2024-10-01,467801000
1203,2024-11-01,537494000
1203,2024-12-01,573608000
1203,2025-01-01,602521000
1203,2025-02-01,540262000
1203,2025-03-01,470623000
1203,2025-04-01,521527000
1203,2025-05-01,498590000
1203,2025-06-01,481004000
1203,2025-07-01,432438000
1203,2025-08-01,439000000
1203,2025-09-01,470431000
1203,2025-10-01,448993000
1203,2025-11-01,448604000
1203,2025-12-01,434162000
1203,2026-01-01,435027000
1203,2026-02-01,461815000
1203,2026-03-01,386214000
1203,2026-04-01,464822000
1203,2026-05-01,437702000
1210,2024-02-01,9474385000
1210,2024-03-01,7242006000
1210,2024-04-01,8587702000
1210,2024-05-01,8589785000
1210,2024-06-01,8612403000
1210,2024-07-01,8207756000
1210,2024-08-01,8506106000
1210,2024-09-01,9027255000
1210,2024-10-01,8614876000
1210,2024-11-01,8604252000
1210,2024-12-01,8968687000
1210,2025-01-01,9166173000
1210,2025-02-01,8684590000
1210,2025-03-01,8087375000
1210,2025-04-01,8770327000
1210,2025-05-01,8722030000
1210,2025-06-01,8229515000
1210,2025-07-01,7980681000
1210,2025-08-01,7933720000
1210,2025-09-01,8556083000
1210,2025-10-01,8731543000
1210,2025-11-01,8433533000
1210,2025-12-01,8857963000
1210,2026-01-01,9592082000
1210,2026-02-01,9726934000
1210,2026-03-01,7628102000
1210,2026-04-01,9209941000
1210,2026-05-01,9098458000
1213,2024-02-01,10917000
1213,2024-03-01,14504000
1213,2024-04-01,7927000
1213,2024-05-01,12478000
1213,2024-06-01,16426000
1213,2024-07-01,12287000
1213,2024-08-01,19561000
1213,2024-09-01,25897000
1213,2024-10-01,18428000
1213,2024-11-01,18760000
1213,2024-12-01,16519000
1213,2025-01-01,16829000
1213,2025-02-01,22379000
1213,2025-03-01,24067000
1213,2025-04-01,19695000
1213,2025-05-01,25157000
1213,2025-06-01,19978000
1213,2025-07-01,23916000
1213,2025-08-01,23287000
1213,2025-09-01,34176000
1213,2025-10-01,34129000
1213,2025-11-01,25876000
1213,2025-12-01,23757000
1213,2026-01-01,20948000
1213,2026-02-01,24751000
1213,2026-03-01,29013000
1213,2026-04-01,23319000
1213,2026-05-01,25400000
1215,2024-02-01,2504897000
1215,2024-03-01,2030911000
1215,2024-04-01,2376299000
1215,2024-05-01,2198777000
1215,2024-06-01,2366427000
1215,2024-07-01,2139781000
1215,2024-08-01,2322796000
1215,2024-09-01,2417581000
1215,2024-10-01,2273593000
1215,2024-11-01,2457728000
1215,2024-12-01,2435339000
1215,2025-01-01,2433129000
1215,2025-02-01,2331017000
1215,2025-03-01,2030712000
1215,2025-04-01,2335353000
1215,2025-05-01,2386361000
1215,2025-06-01,2448264000
1215,2025-07-01,2226284000
1215,2025-08-01,2371761000
1215,2025-09-01,2333191000
1215,2025-10-01,2389204000
1215,2025-11-01,2347307000
1215,2025-12-01,2482253000
1215,2026-01-01,2749915000
1215,2026-02-01,2634849000
1215,2026-03-01,2030010000
1215,2026-04-01,2511460000
1215,2026-05-01,2316768000
1216,2024-02-01,58667213000
1216,2024-03-01,47898965000
1216,2024-04-01,52191829000
1216,2024-05-01,52338982000
1216,2024-06-01,54792810000
1216,2024-07-01,54983416000
1216,2024-08-01,59449406000
1216,2024-09-01,61624958000
1216,2024-10-01,57852278000
1216,2024-11-01,54649449000
1216,2024-12-01,51741861000
1216,2025-01-01,51439480000
1216,2025-02-01,65755516000
1216,2025-03-01,47574945000
1216,2025-04-01,55935541000
1216,2025-05-01,56208747000
1216,2025-06-01,57625519000
1216,2025-07-01,55738019000
1216,2025-08-01,57114520000
1216,2025-09-01,60796560000
1216,2025-10-01,58415036000
1216,2025-11-01,54226663000
1216,2025-12-01,51161260000
1216,2026-01-01,52311321000
1216,2026-02-01,66104462000
1216,2026-03-01,51532816000
1216,2026-04-01,57379159000
1216,2026-05-01,57480106000
1217,2024-02-01,462585000
1217,2024-03-01,323591000
1217,2024-04-01,373002000
1217,2024-05-01,353181000
1217,2024-06-01,444968000
1217,2024-07-01,404150000
1217,2024-08-01,517832000
1217,2024-09-01,695333000
1217,2024-10-01,487276000
1217,2024-11-01,360149000
1217,2024-12-01,362132000
1217,2025-01-01,332502000
1217,2025-02-01,469134000
1217,2025-03-01,313901000
1217,2025-04-01,402634000
1217,2025-05-01,376794000
1217,2025-06-01,440729000
1217,2025-07-01,424548000
1217,2025-08-01,486959000
1217,2025-09-01,591972000
1217,2025-10-01,525593000
1217,2025-11-01,364631000
1217,2025-12-01,324091000
1217,2026-01-01,314958000
1217,2026-02-01,462021000
1217,2026-03-01,319659000
1217,2026-04-01,384534000
1217,2026-05-01,396666000
1218,2024-02-01,1102854000
1218,2024-03-01,787943000
1218,2024-04-01,866051000
1218,2024-05-01,884611000
1218,2024-06-01,827689000
1218,2024-07-01,820155000
1218,2024-08-01,977678000
1218,2024-09-01,1025513000
1218,2024-10-01,985528000
1218,2024-11-01,833404000
1218,2024-12-01,841206000
1218,2025-01-01,728608000
1218,2025-02-01,887717000
1218,2025-03-01,786116000
1218,2025-04-01,825493000
1218,2025-05-01,793857000
1218,2025-06-01,832885000
1218,2025-07-01,809797000
1218,2025-08-01,893928000
1218,2025-09-01,1021563000
1218,2025-10-01,885650000
1218,2025-11-01,791573000
1218,2025-12-01,755967000
1218,2026-01-01,832865000
1218,2026-02-01,943672000
1218,2026-03-01,837121000
1218,2026-04-01,872329000
1218,2026-05-01,844393000
1219,2024-02-01,1332025000
1219,2024-03-01,1036305000
1219,2024-04-01,1202605000
1219,2024-05-01,1214607000
1219,2024-06-01,1214397000
1219,2024-07-01,1042042000
1219,2024-08-01,1196279000
1219,2024-09-01,1163022000
1219,2024-10-01,1171870000
1219,2024-11-01,1233040000
1219,2024-12-01,1270951000
1219,2025-01-01,1268028000
1219,2025-02-01,1178879000
1219,2025-03-01,1162280000
1219,2025-04-01,1294322000
1219,2025-05-01,1207240000
1219,2025-06-01,1197196000
1219,2025-07-01,1099572000
1219,2025-08-01,1105072000
1219,2025-09-01,1150184000
1219,2025-10-01,1211300000
1219,2025-11-01,1266703000
1219,2025-12-01,1202794000
1219,2026-01-01,1332578000
1219,2026-02-01,1271934000
1219,2026-03-01,1059567000
1219,2026-04-01,1303877000
1219,2026-05-01,1221789000
1220,2024-02-01,288895000
1220,2024-03-01,189790000
1220,2024-04-01,286684000
1220,2024-05-01,253570000
1220,2024-06-01,292960000
1220,2024-07-01,268122000
1220,2024-08-01,267181000
1220,2024-09-01,294205000
1220,2024-10-01,273209000
1220,2024-11-01,356483000
1220,2024-12-01,397129000
1220,2025-01-01,320533000
1220,2025-02-01,218906000
1220,2025-03-01,270707000
1220,2025-04-01,269636000
1220,2025-05-01,266521000
1220,2025-06-01,274366000
1220,2025-07-01,255918000
1220,2025-08-01,275553000
1220,2025-09-01,280352000
1220,2025-10-01,290497000
1220,2025-11-01,345775000
1220,2025-12-01,360840000
1220,2026-01-01,308992000
1220,2026-02-01,288493000
1220,2026-03-01,183280000
1220,2026-04-01,260429000
1220,2026-05-01,300795000
1225,2024-02-01,1283395000
1225,2024-03-01,909256000
1225,2024-04-01,1151247000
1225,2024-05-01,1076322000
1225,2024-06-01,1016515000
1225,2024-07-01,947916000
1225,2024-08-01,1064684000
1225,2024-09-01,1077680000
1225,2024-10-01,1030261000
1225,2024-11-01,1079648000
1225,2024-12-01,1152454000
1225,2025-01-01,1187967000
1225,2025-02-01,1090255000
1225,2025-03-01,1068503000
