Code,Name,Industry,Ticker
6996,力領科技,半導體業,6996.TWO
6997,博弘,數位雲端,6997.TWO
7402,邑錡,光電業,7402.TWO
7547,碩網,數位雲端,7547.TWO
7556,意德士,半導體業,7556.TWO
7584,樂意,文化創意業,7584.TWO
7642,昶瑞機電,電機機械,7642.TWO
7703,銳澤,其他電子業,7703.TWO
7704,明遠精密,半導體業,7704.TWO
7708,全家餐飲,觀光餐旅,7708.TWO
7709,榮田,電機機械,7709.TWO
7712,博盛半導體,半導體業,7712.TWO
7713,威力德生醫,生技醫療業,7713.TWO
7714,創泓科技,數位雲端,7714.TWO
7715,裕山,綠能環保,7715.TWO
7716,昱臺國際,航運業,7716.TWO
7717,萊德光電-KY,通信網路業,7717.TWO
7718,友鋮,鋼鐵工業,7718.TWO
7723,築間,觀光餐旅,7723.TWO
7728,光焱科技,其他電子業,7728.TWO
7734,印能科技,半導體業,7734.TWO
7738,東聯互動,數位雲端,7738.TWO
7743,金利食安,食品工業,7743.TWO
7744,崴寶,電子零組件業,7744.TWO
7747,昕奇雲端,數位雲端,7747.TWO
7751,竑騰,半導體業,7751.TWO
7753,星亞,光電業,7753.TWO
7757,金色三麥,觀光餐旅,7757.TWO
7767,仁大資訊,資訊服務業,7767.TWO
7770,君曜,半導體業,7770.TWO
7777,能率亞洲,其他業,7777.TWO
7782,光速火箭,居家生活,7782.TWO
7792,安葆,其他電子業,7792.TWO
7805,威聯通,數位雲端,7805.TWO
7810,捷創科技,半導體業,7810.TWO
8024,佑華,半導體業,8024.TWO
8027,鈦昇,電機機械,8027.TWO
8032,光菱,電子通路業,8032.TWO
8034,榮群,通信網路業,8034.TWO
8038,長園科,電子零組件業,8038.TWO
8040,九暘,半導體業,8040.TWO
8042,金山電,電子零組件業,8042.TWO
8043,蜜望實,電子零組件業,8043.TWO
8044,網家,數位雲端,8044.TWO
8047,星雲,其他電子業,8047.TWO
8048,德勝,通信網路業,8048.TWO
8049,晶采,光電業,8049.TWO
8050,廣積,電腦及週邊設備業,8050.TWO
8054,安國,半導體業,8054.TWO
8059,凱碩,通信網路業,8059.TWO
8064,東捷,光電業,8064.TWO
8066,來思達,居家生活,8066.TWO
8067,志旭,電子通路業,8067.TWO
8068,全達,電子通路業,8068.TWO
8069,元太,光電業,8069.TWO
8071,能率網通,電子零組件業,8071.TWO
8074,鉅橡,電子零組件業,8074.TWO
8076,伍豐,電腦及週邊設備業,8076.TWO
8077,洛��,觀光餐旅,8077.TWO
8080,泰霖,建材營造業,8080.TWO
8083,瑞穎,電機機械,8083.TWO
8084,巨虹,電子通路業,8084.TWO
8085,福華,其他電子業,8085.TWO
8086,宏捷科,半導體業,8086.TWO
8087,麗升能源,綠能環保,8087.TWO
8088,品安,半導體業,8088.TWO
8089,康全電訊,通信網路業,8089.TWO
8091,翔名,半導體業,8091.TWO
8092,建暐,其他電子業,8092.TWO
8093,保銳,電子零組件業,8093.TWO
8096,擎亞,電子通路業,8096.TWO
8097,常珵,通信網路業,8097.TWO
8099,大世科,資訊服務業,8099.TWO
